"Gellish","English","Version:","9.0","14-mrt-16","Product type model","Electric cables of suppliers","Lower_obj_uid=32000","Upper_obj_uid=32999","Lower_rel_uid=1032000","Upper_rel_uid=1032999",,"prefix=el:",,,,,,,,,,,,,,,,,,
0,69,54,71,16,44,1,43,2,101,60,3,45,74,75,15,201,65,4,66,7,14,50,68,8,67,23,9,10,12,13
"Presentation sequence","UID of language of name of left hand object","Language of name of left hand object","UID of language community","Name of language community of name of left hand object","Left hand cardinalities","UID of the idea","Intention","UID of left hand object","Name of left hand object","UID of kind of relation","Name of kind of relation","Right hand cardinalities","UID of right hand kind of role","Name of right hand kind of role","UID of right hand object","Name of right hand object","Partial definition","Full definition","UID of UoM","Name of unit of measure","Remarks","UID of collection of facts","Name of collection of facts","Status","UID of successor of idea","Date-Time of availability","Date of start of validity","Date of latest change","Originator of latest change","Reference"
4,910036,"English",32100,"Nexans",,32201,"bewering",32101,"YMvK mb Flex 3 x 95 SV",5396,"is a brand",,,,32301,"YMvK mb cable","that ...","is a YMvK mb cable ",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
5,910036,"English",32100,"Nexans",,32202,"statement",32101,"YMvK mb Flex 3 x 95 SV",5396,"is a brand",,,,251691,"3 core cable","that ...","is a 3 core cable ",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
6,910036,"English",32100,"Nexans",,32203,"statement",32102,"YMvK mb 3 x 35",5396,"is a brand",,,,32301,"YMvK mb cable","that ...","is a YMvK mb cable ",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
7,910036,"English",32100,"Nexans",,32204,"statement",32102,"YMvK mb 3 x 35",5396,"is a brand",,,,251691,"3 core cable","that ...","is a 3 core cable  ",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
8,910036,"English",32100,"Nexans",,32205,"statement",32103,"YMvK mb Flex 3 x 70 SV",5396,"is a brand",,,,32301,"YMvK mb cable","that ...","is a YMvK mb cable ",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
9,910036,"English",32100,"Nexans",,32206,"statement",32103,"YMvK mb Flex 3 x 70 SV",5396,"is a brand",,,,251691,"3 core cable","that ...","is a 3 core cable ",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
10,910036,"English",32100,"Nexans",,32207,"statement",32103,"YMvK mb Flex 3 x 70 SV",5527,"has by definition as aspect a",,32104,"external diameter of a YMvK mb Flex 3 x 70 SV",550206,"external diameter",,,,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
11,910036,"English",32100,"Nexans",,32208,"statement",32104,"external diameter of a YMvK mb Flex 3 x 70 SV",5737,"has by definition on scale a value equal to",,,,2000000030,30,,,570423,"mm",,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
11,910036,"English",32100,"Nexans",,32209,"statement",32104,"external diameter of a YMvK mb Flex 3 x 70 SV",1146,"is a kind of",,,,4289,"intrinsic aspect","that ...",,,,,,,"ignore",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
11,910036,"English",32100,"Nexans",,32210,"statement",32104,"external diameter of a YMvK mb Flex 3 x 70 SV",5817,"is by definition an intrinsic",,,,550206,"external diameter",,,,,,,,"ignore",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
11,910036,"English",32100,"Nexans",,32211,"statement",32104,"external diameter of a YMvK mb Flex 3 x 70 SV",5738,"is by definition an intrinsic aspect of a",,,,32103,"YMvK mb Flex 3 x 70 SV",,,,,,,,"ignore",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
12,910036,"English",32100,"Nexans",,32212,"statement",32103,"YMvK mb Flex 3 x 70 SV",6149,"has by definition as intrinsic aspect a",,32105,"jacket material of a YMvK mb Flex 3 x 70 SV",32302,"jacket material",,,,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
13,910036,"English",32100,"Nexans",,32213,"statement",32105,"jacket material of a YMvK mb Flex 3 x 70 SV",5283,"is by definition qualified as",,,,280178,"PVC",,,,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
14,910036,"English",32100,"Nexans",,32214,"statement",32301,"YMvK mb kabel",1726,"is a type of",,,,32303,"YMvK cable",,"is a YMvK cable ",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
15,910036,"English",32100,"Nexans",,32215,"statement",32303,"YMvK kabel",1726,"is a type of",,,,250038,"electric cable",,"is an electric cable ",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
19,910036,"English",32100,"Nexans",,32216,"statement",32105,"jacket material of a YMvK mb Flex 3 x 70 SV",1146,"is a kind of",,,,4289,"intrinsic aspect","that ...","is an intrinsic aspect",,,"factually a kind of ‘intrinsic aspect of a part’",,,"ignore",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
19,910036,"English",32100,"Nexans",,32217,"statement",32105,"jacket material of a YMvK mb Flex 3 x 70 SV",5817,"is by definition an intrinsic",,,,32302,"jacket material",,,,,,,,"ignore",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
16,910036,"English",195446,"electrical technology",,32218,"statement",251691,"3 core cable",1146,"is a kind of",,,,250992,"multi core cable","that is composed of three electricity conducting cores that are isolated from each other.","is a multi core cable that is composed of three electricity conducting cores that are isolated from each other.",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
17,910036,"English",195446,"electrical technology",,32219,"statement",250992,"multi core cable",1146,"is a kind of",,,,250038,"electric cable","that is composed of two or more electricity conducting cores that are isolated from each other.","is an electric cable that is composed of two or more electricity conducting cores that are isolated from each other.",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
18,910036,"English",195446,"electrical technology",,32220,"statement",32302,"jacket material",1146,"is a kind of",,,,4289,"intrinsic aspect","that ...","is an intrinsic aspect",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
20,910036,"English",195446,"electrical technology",,32221,"statement",32302,"jacket material",5817,"is by definition an intrinsic",,,,431771,"material",,,,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
21,910036,"English",195446,"electrical technology",,32222,"statement",32302,"jacket material",5738,"is by definition an intrinsic aspect of a",,,,32304,"jacket",,,,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
22,910036,"English",195446,"electrical technology",,32223,"statement",250038,"electric cable",1146,"is a kind of",,,,670161,"cable","that is composed of at least one electricity conductor or that has at least one electric condustor as component. When there is more than one conductor, then they are isolated from each other. In many cases the conductors are stranded around a central core and are together enclosed by an isolating jacket.","is a cable that is composed of at least one electricity conductor or that has at least one electric condustor as component. When there is more than one conductor, then they are isolated from each other. In many cases the conductors are stranded around a central core and are together enclosed by an isolating jacket.",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
27,910036,"English",195446,"electrical technology",,32228,"statement",670161,"cable",1146,"is a kind of",,,,730063,"artefact","that is composed of stranded metal or fiber.","is an artefact that is composed of stranded metal or fiber.",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
28,910036,"English",195446,"electrical technology",,32229,"statement",250990,"1 core cable",1146,"is a kind of",,,,250038,"electric cable","that has only one wire as conductor in its core.","is an electric cable that has only one wire as conductor in its core.",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
16,910036,"English",195446,"electrical technology",,32230,"statement",250990,"1 core cable",6149,"has by definition as intrinsic aspect a",,32112,"number of cores of a 1 core cable",553901,"number of cores",,,,,,,,"accepted",,"12-apr-16",,"12-apr-16","Andries van Renssen","Andries van Renssen"
13,910036,"English",195446,"electrical technology",,32231,"statement",32112,"number of cores of a 1 core cable",5737,"has by definition on scale a value equal to",,,,2000000001,1,,,570018,"piece",,,,"accepted",,"12-apr-16",,"12-apr-16","Andries van Renssen","Andries van Renssen"
29,910036,"English",195446,"electrical technology",,32232,"statement",251968,"2 core cable",1146,"is a kind of",,,,250992,"multi core cable","that is composed of two electricity conducting cores that are isolated from each other.","is a multi core cable that is composed of two electricity conducting cores that are isolated from each other.",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
16,910036,"English",195446,"electrical technology",,32233,"statement",251968,"2 core cable",6149,"has by definition as intrinsic aspect a",,32111,"number of cores of a 2 core cable",553901,"number of cores",,,,,,,,"accepted",,"12-apr-16",,"12-apr-16","Andries van Renssen","Andries van Renssen"
13,910036,"English",195446,"electrical technology",,32234,"statement",32111,"number of cores of a 2 core cable",5737,"has by definition on scale a value equal to",,,,2000000002,2,,,570018,"piece",,,,"accepted",,"12-apr-16",,"12-apr-16","Andries van Renssen","Andries van Renssen"
22,910036,"English",195446,"electrical technology",,32235,"statement",250038,"electric cable",5519,"has by definition as part a","1,n",,,250976,"core",,,,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
22,910036,"English",195446,"electrical technology",,32236,"statement",250038,"electric cable",4792,"can have as characteristic a",,,,553901,"number of cores",,,,,,,,"ignore",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
22,910036,"English",195446,"electrical technology",,32237,"statement",250976,"core",4792,"can have as characteristic a",,,,32107,"conductor cross sectional area",,,,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
16,910036,"English",195446,"electrical technology",,32238,"statement",251691,"3 core cable",6149,"has by definition as intrinsic aspect a",,32106,"number of cores of a 3 core cable",553901,"number of cores",,,,,,,,"accepted",,"12-apr-16",,"12-apr-16","Andries van Renssen","Andries van Renssen"
13,910036,"English",195446,"electrical technology",,32239,"statement",32106,"number of cores of a 3 core cable",5737,"has by definition on scale a value equal to",,,,2000000003,3,,,570018,"piece",,,,"accepted",,"12-apr-16",,"12-apr-16","Andries van Renssen","Andries van Renssen"
13,910036,"English",195446,"electrical technology",,32240,"statement",32107,"area of a cross section of a conductor",1981,"is a synonym of",,,,32107,"conductor cross sectional area",,,,,,,,"accepted",,"12-apr-16",,"12-apr-16","Andries van Renssen","Andries van Renssen"
12,910036,"English",32100,"Nexans",,32241,"statement",32103,"YMvK mb Flex 3 x 70 SV",6149,"has by definition as intrinsic aspect a",,32109,"conductor cross sectional area of a YMvK mb Flex 3 x 70 SV",32107,"conductor cross sectional area",,,,,,,,"accepted",,"12-apr-16",,"12-apr-16","Andries van Renssen","Andries van Renssen"
11,910036,"English",32100,"Nexans",,32242,"statement",32109,"conductor cross sectional area of a YMvK mb Flex 3 x 70 SV",5737,"has by definition on scale a value equal to",,,,2000000070,70,,,570126,"mm2",,,,"accepted",,"12-apr-16",,"12-apr-16","Andries van Renssen","Andries van Renssen"
12,910036,"English",32100,"Nexans",,32243,"statement",32101,"YMvK mb Flex 3 x 95 SV",6149,"has by definition as intrinsic aspect a",,32110,"conductor cross sectional area of a YMvK mb Flex 3 x 95 SV",32107,"conductor cross sectional area",,,,,,,,"accepted",,"12-apr-16",,"12-apr-16","Andries van Renssen","Andries van Renssen"
11,910036,"English",32100,"Nexans",,32244,"statement",32110,"conductor cross sectional area of a YMvK mb Flex 3 x 95 SV",5737,"has by definition on scale a value equal to",,,,2000000095,95,,,570126,"mm2",,,,"accepted",,"12-apr-16",,"12-apr-16","Andries van Renssen","Andries van Renssen"
13,910036,"English",195446,"electrical technology",,32245,"statement",32107,"conductor cross sectional area",1146,"is a kind of",,,,4289,"intrinsic aspect","that is the surface area of the cross section of a conductor.",,,,,,,"accepted",,"15-feb-17",,"15-feb-17","Andries van Renssen","Andries van Renssen"
13,910036,"English",195446,"electrical technology",,32246,"statement",32107,"conductor cross sectional area",5817,"is by definition an intrinsic",,,,552007,"cross sectional area",,,,,,,,"accepted",,"15-feb-17",,"15-feb-17","Andries van Renssen","Andries van Renssen"
13,910036,"English",195446,"electrical technology",,32247,"statement",32107,"conductor cross sectional area",5738,"is by definition an intrinsic aspect of a",,,,250976,"core",,,,,,,,"accepted",,"15-feb-17",,"15-feb-17","Andries van Renssen","Andries van Renssen"
13,910036,"English",195446,"electrical technology",,32248,"statement",553901,"number of cores",5817,"is by definition an intrinsic",,,,910022,"number",,,,,,,,"accepted",,"5-jul-17",,"5-jul-17","Andries van Renssen","Andries van Renssen"
13,910036,"English",195446,"electrical technology",,32249,"statement",553901,"number of cores",5738,"is by definition an intrinsic aspect of a",,,,250976,"core",,,,,,,,"accepted",,"5-jul-17",,"5-jul-17","Andries van Renssen","Andries van Renssen"
13,910036,"English",195446,"electrical technology",,32250,"statement",553901,"number of cores",1146,"is a kind of",,,,4289,"intrinsic aspect","that is the number of wires in a collection.",,,,,,,"accepted",,"5-jul-17",,"5-jul-17","Andries van Renssen","Andries van Renssen"
8,910036,"English",32113,"Raab-Karcher",,32251,"statement",32114,"Elofer Pak-Aan 25m vmvk 3x2,5 grey z126655",5396,"is a brand",,,,32301,"YMvK mb cable","that ...","is a YMvK mb cable ",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
9,910036,"English",32113,"Raab-Karcher",,32252,"statement",32114,"Elofer Pak-Aan 25m vmvk 3x2,5 grey z126655",5396,"is a brand",,,,251691,"3 core cable","that ...","is a 3 core cable ",,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
10,910036,"English",32113,"Raab-Karcher",,32253,"statement",32114,"Elofer Pak-Aan 25m vmvk 3x2,5 grey z126655",5527,"has by definition as aspect a",,32115,"external diameter of a Elofer Pak-Aan 25m vmvk 3x2,5 grey z126655",550206,"external diameter",,,,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
12,910036,"English",32113,"Raab-Karcher",,32254,"statement",32114,"Elofer Pak-Aan 25m vmvk 3x2,5 grey z126655",6149,"has by definition as intrinsic aspect a",,32116,"jacket material of a Elofer Pak-Aan 25m vmvk 3x2,5 grey z126655",32302,"jacket material",,,,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
12,910036,"English",32113,"Raab-Karcher",,32255,"statement",32114,"Elofer Pak-Aan 25m vmvk 3x2,5 grey z126655",6149,"has by definition as intrinsic aspect a",,32117,"conductor cross sectional area of a Elofer Pak-Aan 25m vmvk 3x2,5 grey z126655",32107,"conductor cross sectional area",,,,,,,,"accepted",,"12-apr-16",,"12-apr-16","Andries van Renssen","Andries van Renssen"
11,910036,"English",32113,"Raab-Karcher",,32256,"statement",32115,"external diameter of a Elofer Pak-Aan 25m vmvk 3x2,5 grey z126655",5737,"has by definition on scale a value equal to",,,,2000000010,10,,,570423,"mm",,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
13,910036,"English",32113,"Raab-Karcher",,32257,"statement",32116,"jacket material of a Elofer Pak-Aan 25m vmvk 3x2,5 grey z126655",5283,"is by definition qualified as",,,,280178,"PVC",,,,,,,,"accepted",,"14-mrt-16",,"14-mrt-16","Andries van Renssen","Andries van Renssen"
11,910036,"English",32113,"Raab-Karcher",,32258,"statement",32117,"conductor cross sectional area of a Elofer Pak-Aan 25m vmvk 3x2,5 grey z126655",5737,"has by definition on scale a value equal to",,,,928591,"2.53",,,570126,"mm2",,,,"accepted",,"12-apr-16",,"12-apr-16","Andries van Renssen","Andries van Renssen"
13,910036,"English",195446,"electrical technology",,32259,"statement",550206,"outside diameter",1981,"is a synonym of",,,,550206,"external diameter",,,,,,,,"accepted",,"19-jul-17",,"19-jul-17","Andries van Renssen","Andries van Renssen"
12,910036,"English",32100,"Nexans",,32260,"statement",32103,"YMvK mb Flex 3 x 70 SV",5620,"is a kind that is described by",,,,32118,"YMvK.mb Flex 3x70 SV data sheet",,,,,,,,"accepted",,"25-jul-17",,"25-jul-17","Andries van Renssen","Andries van Renssen"
12,910036,"English",32100,"Nexans",,32261,"statement",32118,"YMvK.mb Flex 3x70 SV data sheet",1726,"is a qualitative subtype of",,,,490210,"datasheet","that ...",,,,,,,"accepted",,"25-jul-17",,"25-jul-17","Andries van Renssen","Andries van Renssen"
12,910036,"English",32100,"Nexans",,32262,"statement",32118,"YMvK.mb Flex 3x70 SV data sheet",4996,"is presented on",,,,32119,"YMvK_mb_Flex_3x70_SV.pdf",,,,,,,,"accepted",,"25-jul-17",,"25-jul-17","Andries van Renssen","Andries van Renssen"
12,910036,"English",32100,"Nexans",,32263,"statement",32119,"YMvK_mb_Flex_3x70_SV.pdf",1225,"is classified as a",,,,493748,"pdf file",,,,,,,,"accepted",,"25-jul-17",,"25-jul-17","Andries van Renssen","Andries van Renssen"
12,910036,"English",32100,"Nexans",,32264,"statement",32119,"YMvK_mb_Flex_3x70_SV.pdf",1227,"is an element of",,,,32120,"GellishData",,,,,,,,"accepted",,"25-jul-17",,"25-jul-17","Andries van Renssen","Andries van Renssen"
12,910036,"English",32100,"Nexans",,32265,"statement",32103,"YMvK mb Flex 3 x 70 SV",5620,"is a kind that is described by",,,,32121,"YMvK.mb Flex 3x70 SV certificate",,,,,,,,"accepted",,"25-jul-17",,"25-jul-17","Andries van Renssen","Andries van Renssen"
12,910036,"English",32100,"Nexans",,32266,"statement",32121,"YMvK.mb Flex 3x70 SV certificate",1726,"is a qualitative subtype of",,,,490204,"certificate","that ...",,,,,,,"accepted",,"25-jul-17",,"25-jul-17","Andries van Renssen","Andries van Renssen"
12,910036,"English",32100,"Nexans",,32267,"statement",32121,"YMvK.mb Flex 3x70 SV certificate",4996,"is presented on",,,,32122,"Certif 2037709_01YMvKmb_1.jpg",,,,,,,,"accepted",,"25-jul-17",,"25-jul-17","Andries van Renssen","Andries van Renssen"
12,910036,"English",32100,"Nexans",,32268,"statement",32122,"Certif 2037709_01YMvKmb_1.jpg",1225,"is classified as a",,,,911637,"jpg file",,,,,,,,"accepted",,"25-jul-17",,"25-jul-17","Andries van Renssen","Andries van Renssen"
12,910036,"English",32100,"Nexans",,32269,"statement",32122,"Certif 2037709_01YMvKmb_1.jpg",1227,"is an element of",,,,32120,"GellishData",,,,,,,,"accepted",,"25-jul-17",,"25-jul-17","Andries van Renssen","Andries van Renssen"
12,910036,"English",32100,"Nexans",,32270,"statement",32301,"YMvK mb cable",5620,"is a kind that is described by",,,,32123,"YMvK mb cable description",,,,,,,,"accepted",,"25-jul-17",,"25-jul-17","Andries van Renssen","Andries van Renssen"
12,910036,"English",32100,"Nexans",,32271,"statement",32123,"YMvK mb cable description",1726,"is a qualitative subtype of",,,,493672,"description",,"YMvK mb is usually layed out in cableducts; VO-YMvKas mb and VG-YMvKas mb are used in cases of severe mechanical requirements. Ultraflex YMvK mb ss is extremely suitable for applications in small spaces or with short bends. All these types are only for fixed connections. XMvK is for domestic and light industrial usage, but is not allowed for cable bundle appliances.",,,,,,"accepted",,"25-jul-17",,"25-jul-17","Andries van Renssen","Andries van Renssen"
